018|20190723|0000|
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|01.01.2002|31.12.2006|
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|01.01.2007|31.12.2009|
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|01.01.2010|31.12.2011|
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ:|01.01.2012|22.08.2012|
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|23.08.2012|31.12.2016|
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|01.01.2017||
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|01.01.2002|31.12.2006|
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|01.01.2007|31.12.2009|
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|01.01.2010|31.12.2011|
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ:|01.01.2012|22.08.2012|
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|23.08.2012|31.12.2016|
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|01.01.2017||
01|03|СВИНЬИ ЖИВЫЕ|01.01.2002|31.12.2006|
01|03|СВИНЬИ ЖИВЫЕ|01.01.2007|31.12.2009|
01|03|СВИНЬИ ЖИВЫЕ|01.01.2010|31.12.2011|
01|03|СВИНЬИ ЖИВЫЕ:|01.01.2012|22.08.2012|
01|03|СВИНЬИ ЖИВЫЕ|23.08.2012|31.12.2016|
01|03|СВИНЬИ ЖИВЫЕ|01.01.2017||
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|01.01.2002|31.12.2006|
